@relation winequality-white

@attribute 'fixed acidity' numeric
@attribute 'volatile acidity' numeric
@attribute 'citric acid' numeric
@attribute 'residual sugar' numeric
@attribute 'chlorides' numeric
@attribute 'free sulfur dioxide' numeric
@attribute 'total sulfur dioxide' numeric
@attribute 'density' numeric
@attribute 'pH' numeric
@attribute 'sulphates' numeric
@attribute 'alcohol' numeric
@attribute 'quality' {4, 5, 6, 7, 8}

@data
6.2,0.2,0.26,9.7,0.03,39,102,0.9908,3.08,0.56,12.9,7
6.7,0.21,0.36,8.55,0.02,20,86,0.99146,3.19,0.22,13.4,7
5.6,0.24,0.34,2,0.041,14,73,0.98981,3.04,0.45,11.6,7
8.7,0.23,0.32,13.4,0.044,35,169,0.99975,3.12,0.47,8.8,7
6.2,0.36,0.27,3.2,0.032,13,73,0.98942,2.9,0.69,12.6,7
7,0.26,0.59,1.4,0.037,40,120,0.9918,3.34,0.41,11.1,7
6.4,0.23,0.32,1.9,0.038,40,118,0.99074,3.32,0.53,11.8,7
7.9,0.37,0.3,2.7,0.029,64,158,0.9916,3.12,0.59,12,7
5.6,0.21,0.24,4.4,0.027,37,150,0.991,3.3,0.31,11.5,7
6.3,0.2,0.26,4.7,0.04,108,168,0.99278,3.07,0.75,10.7,7
6.8,0.18,0.35,5.4,0.054,53,143,0.99287,3.1,0.54,11,7
6.7,0.28,0.34,8.9,0.048,32,111,0.99455,3.25,0.54,11,7
7.3,0.25,0.36,13.1,0.05,35,200,0.9986,3.04,0.46,8.9,7
7.5,0.18,0.31,11.7,0.051,24,94,0.997,3.19,0.44,9.5,7
5.1,0.33,0.22,1.6,0.027,18,89,0.9893,3.51,0.38,12.5,7
8.4,0.17,0.31,6.7,0.038,29,132,0.9945,3.1,0.32,10.6,7
6.6,0.24,0.3,11.3,0.026,11,77,0.99381,3.13,0.55,12.8,7
7.4,0.19,0.3,12.8,0.053,48.5,229,0.9986,3.14,0.49,9.1,7
6.9,0.33,0.26,5,0.027,46,143,0.9924,3.25,0.43,11.2,7
6,0.26,0.29,3.1,0.041,37,144,0.98944,3.22,0.39,12.8,7
5.1,0.33,0.27,6.7,0.022,44,129,0.99221,3.36,0.39,11,7
7.1,0.16,0.36,1.2,0.043,21,90,0.9925,3.16,0.42,11,7
6.8,0.13,0.39,1.4,0.034,19,102,0.99121,3.23,0.6,11.3,7
7.8,0.26,0.49,3.2,0.027,28,87,0.9919,3.03,0.32,11.3,7
6,0.32,0.33,9.9,0.032,22,90,0.99258,3.1,0.43,12.1,7
7.7,0.16,0.41,1.7,0.048,60,173,0.9932,3.24,0.66,11.2,7
8.6,0.2,0.42,1.5,0.041,35,125,0.9925,3.11,0.49,11.4,7
6.2,0.38,0.42,2.5,0.038,34,117,0.99132,3.36,0.59,11.6,7
8,0.37,0.32,1.6,0.04,32,166,0.992,3,0.55,11.3,7
8.1,0.4,0.32,7.9,0.031,23,118,0.99176,3.05,0.46,13.3,7
7.1,0.44,0.23,5.8,0.035,24,100,0.99062,3.15,0.57,13.2,7
6.3,0.37,0.28,6.3,0.034,45,152,0.9921,3.29,0.46,11.6,7
6.7,0.46,0.27,5.2,0.039,35,96,0.99129,3.16,0.44,12.4,7
7.2,0.33,0.22,4.5,0.031,10,73,0.99076,2.97,0.52,12.2,7
7.3,0.19,0.25,1.4,0.051,41,107,0.99382,3.53,0.66,10.5,7
6.4,0.35,0.28,1.6,0.037,31,113,0.98779,3.12,0.4,14.2,7
6.7,0.3,0.29,2.8,0.025,37,107,0.99159,3.31,0.63,11.3,7
7.1,0.33,0.3,3.3,0.034,30,102,0.9912,3.08,0.31,12.3,7
6.3,0.22,0.27,4.5,0.036,81,157,0.9928,3.05,0.76,10.7,7
